City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
busselton,-33.65,115.3333,59.94,69,94,16.73,AU,1655085622
bluff,-46.6,168.3333,45.81,71,100,29.3,NZ,1655085779
ushuaia,-54.8,-68.3,40.66,93,75,2.3,AR,1655085780
east london,-33.0153,27.9116,75.51,30,100,11.18,ZA,1655085780
hobart,-42.8794,147.3294,53.06,63,20,9.22,AU,1655085712
castro,-24.7911,-50.0119,38.46,69,0,4.38,BR,1655085781
chitrakonda,18.1167,82.0833,81.82,67,97,2.48,IN,1655085781
punta arenas,-53.15,-70.9167,44.11,87,100,7.94,CL,1655085721
bathsheba,13.2167,-59.5167,81.21,78,20,21.85,BB,1655085781
hilo,19.7297,-155.09,87.28,80,100,8.05,US,1655085782
albany,42.6001,-73.9662,66.61,88,100,1.01,US,1655085782
arraial do cabo,-22.9661,-42.0278,68.18,60,100,26.35,BR,1655085783
anse-bertrand,16.4721,-61.5078,80.42,100,11,17.92,GP,1655085783
sitka,57.0531,-135.33,51.69,82,100,4.61,US,1655085784
constitucion,-35.3333,-72.4167,48.81,90,88,2.62,CL,1655085784
cape town,-33.9258,18.4232,60.35,90,100,8.99,ZA,1655085666
svetlogorsk,52.6333,29.7333,55.38,96,8,6.55,BY,1655085785
mahebourg,-20.4081,57.7,69.26,80,56,18.75,MU,1655085785
maceio,-9.6658,-35.7353,72.84,94,40,3.44,BR,1655085785
butaritari,3.0707,172.7902,82.27,67,0,14.56,KI,1655085786
le port,-20.9373,55.2919,73.26,75,12,5.44,RE,1655085786
bollnas,61.3482,16.3946,50.68,92,78,5.12,SE,1655085786
upernavik,72.7868,-56.1549,28.29,76,54,3.87,GL,1655085786
raudeberg,61.9875,5.1352,49.96,94,100,20.89,NO,1655085787
mehamn,71.0357,27.8492,44.51,95,100,25.3,NO,1655085787
clarksburg,39.2807,-80.3445,71.29,99,20,1.63,US,1655085787
provideniya,64.3833,-173.3,41.11,63,100,1.36,RU,1655085787
praya,14.9215,-23.5087,73.94,78,20,5.75,CV,1655085788
mataura,-46.1927,168.8643,45.48,90,100,12.48,NZ,1655085788
mar del plata,-38.0023,-57.5575,49.08,68,0,3.44,AR,1655085788
nikolskoye,59.7035,30.7861,52.79,85,91,4.21,RU,1655085789
fortuna,40.5982,-124.1573,59.67,78,90,5.99,US,1655085789
george,-33.963,22.4617,62.58,48,100,2.37,ZA,1655085789
tuktoyaktuk,69.4541,-133.0374,33.8,93,100,10.36,CA,1655085789
rawson,-43.3002,-65.1023,56.39,28,100,11.43,AR,1655085790
tuatapere,-46.1333,167.6833,45.72,76,100,20.04,NZ,1655085688
rikitea,-23.1203,-134.9692,73.31,68,36,13.65,PF,1655085791
bredasdorp,-34.5322,20.0403,59.23,70,100,7.07,ZA,1655085791
chapleau,47.8405,-83.4034,48.69,83,8,2.98,CA,1655085792
chegdomyn,51.1167,133.0167,75.52,49,100,4.54,RU,1655085792
karasjok,69.4719,25.5112,47.28,68,49,2.89,NO,1655085793
hermanus,-34.4187,19.2345,60.66,78,100,15.32,ZA,1655085793
tasiilaq,65.6145,-37.6368,35.76,99,100,5.26,GL,1655085711
yangjiang,21.85,111.9667,83.44,87,100,12.48,CN,1655085794
yellowknife,62.456,-114.3525,64.04,51,37,4.76,CA,1655085795
pevek,69.7008,170.3133,40.03,60,87,12.59,RU,1655085795
lata,40.1629,-8.3327,66.81,74,2,2.15,PT,1655085795
capoeiras,-8.7347,-36.6267,63.7,98,24,4.34,BR,1655085795
comodoro rivadavia,-45.8667,-67.5,48.06,43,0,2.3,AR,1655085796
salinopolis,-0.6136,-47.3561,78.53,81,3,8.05,BR,1655085797
qaqortoq,60.7167,-46.0333,38.75,92,99,4.5,GL,1655085798
mimongo,-1.6195,11.6068,68.32,98,81,4.18,GA,1655085799
breytovo,58.2993,37.8617,51.89,81,22,7.0,RU,1655085799
ostrovnoy,68.0531,39.5131,53.64,83,100,6.42,RU,1655085714
port elizabeth,-33.918,25.5701,67.32,46,100,4.0,ZA,1655085800
houma,29.5958,-90.7195,84.0,85,0,3.0,US,1655085800
umea,63.8284,20.2597,50.92,100,100,3.44,SE,1655085800
grindavik,63.8424,-22.4338,47.89,100,100,17.27,IS,1655085801
